TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2003,08,01,20,30,69XX INVERNESS ST,Sunset,494166.06,5452112.18
Theft of Vehicle,2003,11,02,00,45,13XX W 14TH AVE,Fairview,490247.74,5456234.11
Offence Against a Person,2003,04,03,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,10,08,23,10,10XX DAVIE ST,West End,490496.03,5458588.52
Break and Enter Residential/Other,2003,06,21,16,00,5X E 10TH AVE,Mount Pleasant,492442.71,5456597.37
Theft from Vehicle,2003,08,01,22,00,8XX BURRARD ST,Central Business District,491012.05,5458891.96
Theft from Vehicle,2003,04,26,17,00,8XX BURRARD ST,Central Business District,491012.05,5458891.96
Break and Enter Residential/Other,2003,12,22,12,00,13XX E 59TH AVE,Sunset,494357.86,5451519.04
Theft of Vehicle,2003,10,17,23,15,13XX W 14TH AVE,Fairview,490247.74,5456234.11
Theft of Vehicle,2003,09,15,08,00,13XX W 14TH AVE,Fairview,490247.74,5456234.11
Theft of Vehicle,2003,03,14,23,00,13XX W 14TH AVE,Fairview,490127.39,5456237.25
Break and Enter Commercial,2003,09,14,16,57,10XX DAVIE ST,West End,490507.87,5458589.68
Theft of Vehicle,2003,01,13,20,00,13XX W 14TH AVE,Fairview,490127.39,5456237.25
Theft of Vehicle,2003,11,02,23,00,13XX W 14TH AVE,Fairview,490099.13,5456247.14
Other Theft,2003,02,22,14,05,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,02,19,10,00,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,02,18,16,30,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Break and Enter Commercial,2003,09,21,23,14,3XX RENFREW ST,Hastings-Sunrise,496795.62,5458787.39
Break and Enter Residential/Other,2003,05,05,09,00,10XX W 8TH AVE,Fairview,490718.02,5456845.31
Theft from Vehicle,2003,06,15,18,00,BARCLAY ST / BUTE ST,West End,490611.45,5459106.58
Break and Enter Residential/Other,2003,05,16,12,45,10XX W 8TH AVE,Fairview,490718.02,5456845.31
Mischief,2003,11,13,18,30,10XX EXPO BLVD,Central Business District,491544.52,5458009.74
Theft of Vehicle,2003,03,26,23,00,13XX W 13TH AVE,Fairview,490145.92,5456338.31
Offence Against a Person,2003,08,16,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,11,28,15,30,X NK_LOC ST,,492757.49,5458792.47
Theft from Vehicle,2003,11,27,21,00,X NK_LOC ST,,492757.49,5458792.47
Theft of Vehicle,2003,12,07,00,30,13XX W 13TH AVE,Fairview,490139.81,5456347.61
Theft of Vehicle,2003,04,04,16,00,13XX W 13TH AVE,Fairview,490139.81,5456347.61
Break and Enter Commercial,2003,04,09,06,00,10XX DAVIE ST,West End,490528.54,5458556.46
Theft from Vehicle,2003,11,25,17,45,X NK_LOC ST,,492757.49,5458792.47
Break and Enter Commercial,2003,07,06,18,49,10XX DAVIE ST,West End,490529.55,5458568.31
Break and Enter Commercial,2003,07,28,18,20,10XX DAVIE ST,West End,490529.55,5458568.31
Break and Enter Commercial,2003,08,23,16,30,10XX DAVIE ST,West End,490529.55,5458568.31
Theft of Vehicle,2003,03,16,14,00,13XX W 12TH AVE,Fairview,490253.85,5456443.54
Break and Enter Residential/Other,2003,10,12,10,00,10XX W 8TH AVE,Fairview,490718.02,5456845.31
Theft from Vehicle,2003,11,25,09,18,X NK_LOC ST,,492757.49,5458792.47
Mischief,2003,03,06,09,50,11XX DAVIE ST,West End,490445.62,5458638.49
Break and Enter Commercial,2003,09,11,02,44,3XX RICHARDS ST,Central Business District,491868.25,5459039.17
Theft of Vehicle,2003,12,06,20,00,13XX W 12TH AVE,Fairview,490190.21,5456445.13
Theft of Vehicle,2003,07,02,08,30,13XX W 12TH AVE,Fairview,490190.21,5456445.13
Theft of Vehicle,2003,03,21,18,00,13XX W 12TH AVE,Fairview,490148.84,5456446.17
Other Theft,2003,02,13,19,00,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,02,12,16,20,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft from Vehicle,2003,06,26,14,00,36XX VANNESS AVE,Renfrew-Collingwood,498020.92,5453697.44
Theft of Vehicle,2003,07,24,23,30,13XX W 11TH AVE,Fairview,490256.61,5456544.14
Break and Enter Commercial,2003,05,21,08,20,10XX DAVIE ST,West End,490547.51,5458537.76
Break and Enter Commercial,2003,12,13,19,00,10XX DAVIE ST,West End,490550.22,5458535.09
Theft from Vehicle,2003,03,19,21,30,36XX VANNESS AVE,Renfrew-Collingwood,498020.92,5453697.44
Theft of Vehicle,2003,05,08,18,00,13XX W 11TH AVE,Fairview,490256.61,5456544.14
Theft of Vehicle,2003,11,03,21,00,13XX W 11TH AVE,Fairview,490234.54,5456553.78
Break and Enter Commercial,2003,02,16,06,00,10XX DAVIE ST,West End,490552.93,5458532.42
Theft of Vehicle,2003,09,24,06,00,13XX W 11TH AVE,Fairview,490234.54,5456553.78
Break and Enter Commercial,2003,10,05,05,14,10XX DAVIE ST,West End,490553.93,5458544.27
Theft from Vehicle,2003,05,07,07,30,15XX CLARK DR,Grandview-Woodland,494378.37,5457616.5
Break and Enter Residential/Other,2003,03,29,09,00,5X E 14TH AVE,Mount Pleasant,492428.73,5456195.76
Offence Against a Person,2003,06,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,07,15,17,00,13XX W 11TH AVE,Fairview,490231.16,5456544.7
Offence Against a Person,2003,02,07,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,02,14,00,00,23XX W BROADWAY AVE,Kitsilano,488458.88,5456811.52
Offence Against a Person,2003,02,24,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,06,30,05,30,10XX DAVIE ST,West End,490556.64,5458541.6
Break and Enter Commercial,2003,11,06,18,00,10XX DAVIE ST,West End,490556.64,5458541.6
Theft from Vehicle,2003,07,27,11,30,8XX BURRARD ST,Central Business District,491001.23,5458881.19
Break and Enter Commercial,2003,08,21,22,30,3XX ROBSON ST,Central Business District,491498.95,5458524.14
Break and Enter Commercial,2003,09,24,04,32,3XX ROBSON ST,Central Business District,491498.95,5458524.14
Other Theft,2003,02,12,15,30,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft of Vehicle,2003,06,16,23,00,13XX W 10TH AVE,Fairview,490176.68,5456649.81
Other Theft,2003,02,12,14,00,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,02,11,18,40,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Break and Enter Commercial,2003,05,03,14,35,3XX ROBSON ST,Central Business District,491508.87,5458513.79
Theft from Vehicle,2003,11,15,09,00,X NK_LOC ST,,492757.49,5458792.47
Theft from Vehicle,2003,11,15,00,01,X NK_LOC ST,,492757.49,5458792.47
Theft from Vehicle,2003,11,13,23,00,X NK_LOC ST,,492757.49,5458792.47
Theft from Vehicle,2003,11,12,12,00,X NK_LOC ST,,492757.49,5458792.47
Break and Enter Residential/Other,2003,01,11,17,05,5X E 16TH AVE,Riley Park,492426.42,5455984.38
Break and Enter Residential/Other,2003,07,14,15,15,5X E 16TH AVE,Riley Park,492426.42,5455984.38
Theft of Vehicle,2003,06,22,06,00,13XX SW MARINE DR,Marpole,490174.85,5450028.53
Theft from Vehicle,2003,04,25,21,00,22XX E 25TH AVE,Kensington-Cedar Cottage,495702.2,5455044.14
Break and Enter Commercial,2003,05,19,04,30,3XX ROBSON ST,Central Business District,491508.87,5458513.79
Other Theft,2003,02,10,12,40,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,02,07,20,00,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft of Vehicle,2003,05,28,00,01,13XX SW MARINE DR,Marpole,490174.85,5450028.53
Theft of Vehicle,2003,05,07,12,45,13XX SW MARINE DR,Marpole,490174.85,5450028.53
Mischief,2003,05,10,02,03,9XX SEYMOUR ST,Central Business District,491232.97,5458547.97
Theft of Vehicle,2003,02,22,22,00,13XX SW MARINE DR,Marpole,490174.85,5450028.53
Theft from Vehicle,2003,08,22,23,00,10XX W 49TH AVE,Oakridge,490645.24,5452644.17
Other Theft,2003,02,07,18,15,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft from Vehicle,2003,03,17,23,00,36XX VANNESS AVE,Renfrew-Collingwood,498020.92,5453697.44
Break and Enter Commercial,2003,05,24,23,30,10XX DENMAN ST,West End,489807.56,5459515.61
Break and Enter Commercial,2003,05,25,23,30,10XX DENMAN ST,West End,489807.56,5459515.61
Theft of Vehicle,2003,12,28,00,55,13XX SW MARINE DR,Marpole,490135.31,5450044.63
Other Theft,2003,02,07,12,50,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,04,17,19,20,11XX ROBSON ST,West End,490851.29,5459177.12
Theft of Vehicle,2003,11,02,00,00,13XX SW MARINE DR,Marpole,490135.31,5450044.63
Theft of Vehicle,2003,09,05,16,00,13XX STEWART ST,Grandview-Woodland,494579.86,5459040.43
Theft from Vehicle,2003,11,14,01,00,38XX CAMBIE ST,South Cambie,491602.39,5455372.8
Theft of Vehicle,2003,08,24,17,00,13XX STEWART ST,Grandview-Woodland,494579.86,5459040.43
Theft of Vehicle,2003,08,20,16,00,13XX STEWART ST,Grandview-Woodland,494579.86,5459040.43
Theft of Vehicle,2003,03,06,22,10,13XX STEWART ST,Grandview-Woodland,494579.86,5459040.43
Other Theft,2003,02,06,20,25,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Break and Enter Commercial,2003,10,06,03,57,10XX DENMAN ST,West End,489823.44,5459544.73
Break and Enter Commercial,2003,12,22,03,40,10XX DENMAN ST,West End,489824.84,5459533.13
Theft of Vehicle,2003,05,21,11,00,13XX STATION ST,Strathcona,492872.31,5457740.73
Break and Enter Residential/Other,2003,10,02,15,00,5X E 38TH AVE,Riley Park,492400.42,5453735.94
Break and Enter Commercial,2003,10,15,23,00,10XX DENMAN ST,West End,489824.97,5459546.29
Other Theft,2003,02,05,16,44,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft of Vehicle,2003,02,23,19,00,13XX SEYMOUR ST,Central Business District,490735.08,5458027.44
Mischief,2003,12,02,00,49,17XX E 7TH AVE,Grandview-Woodland,494980.05,5456820.18
Mischief,2003,04,01,22,10,21XX OXFORD ST,Grandview-Woodland,495576.97,5459224.58
Theft of Vehicle,2003,07,19,17,00,13XX SEYMOUR ST,Central Business District,490720.64,5458013.0
Other Theft,2003,02,01,10,08,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft of Vehicle,2003,09,26,17,30,13XX SASAMAT ST,West Point Grey,484824.27,5458030.66
Break and Enter Residential/Other,2003,09,20,17,00,5X E 54TH AVE,Sunset,492360.06,5452046.86
Break and Enter Residential/Other,2003,10,28,09,00,5X E 54TH AVE,Sunset,492360.06,5452046.86
Other Theft,2003,01,30,14,55,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft from Vehicle,2003,11,23,23,30,BALSAM ST / W 5TH AVE,Kitsilano,488366.87,5457192.32
Break and Enter Commercial,2003,06,16,22,30,3XX SE MARINE DR,Sunset,492774.27,5450882.58
Mischief,2003,10,07,01,15,2XX JACKSON AVE,Strathcona,493215.62,5458923.6
Break and Enter Commercial,2003,07,29,10,40,10XX DENMAN ST,West End,489875.11,5459583.55
Theft from Vehicle,2003,06,29,08,00,10XX W 49TH AVE,Oakridge,490645.24,5452644.17
Theft from Vehicle,2003,12,18,14,00,44XX JAMES ST,Riley Park,492443.66,5454804.35
Other Theft,2003,01,27,17,42,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Mischief,2003,12,28,23,47,2XX JACKSON AVE,Strathcona,493215.62,5458923.6
Break and Enter Residential/Other,2003,04,28,22,00,5X E 58TH AVE,Sunset,492365.25,5451665.68
Other Theft,2003,01,27,11,15,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft of Vehicle,2003,10,31,11,25,13XX ROBSON ST,West End,490644.27,5459370.98
Theft of Vehicle,2003,08,25,08,50,13XX ROBSON ST,West End,490644.27,5459370.98
Theft from Vehicle,2003,05,17,18,30,23XX W BROADWAY AVE,Kitsilano,488522.0,5456800.61
Theft of Vehicle,2003,06,04,06,15,13XX ROBSON ST,West End,490644.27,5459370.98
Theft of Vehicle,2003,08,05,20,00,13XX ROBSON ST,West End,490599.12,5459416.02
Theft from Vehicle,2003,01,20,22,00,23XX WALL ST,Grandview-Woodland,495698.73,5459628.59
Other Theft,2003,01,25,15,36,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,01,22,16,05,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,01,21,17,15,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft of Vehicle,2003,06,05,01,00,13XX ROBSON ST,West End,490564.18,5459463.78
Theft from Vehicle,2003,01,26,13,00,22XX E 25TH AVE,Kensington-Cedar Cottage,495722.09,5455034.74
Theft from Vehicle,2003,07,31,21,20,23XX WALL ST,Grandview-Woodland,495698.73,5459628.59
Break and Enter Commercial,2003,10,15,03,41,10XX DENMAN ST,West End,489889.88,5459598.27
Theft of Vehicle,2003,07,12,07,00,13XX ROBSON ST,West End,490562.3,5459465.66
Break and Enter Residential/Other,2003,12,16,20,40,12XX W PENDER ST,Central Business District,491017.68,5459519.62
Mischief,2003,01,10,22,00,21XX PANDORA ST,Grandview-Woodland,495522.22,5458914.73
Mischief,2003,09,22,06,00,21XX PANDORA ST,Grandview-Woodland,495522.22,5458914.73
Other Theft,2003,01,19,14,17,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Offence Against a Person,2003,05,14,,,OFFSET TO PROTECT PRIVACY,,0,0
Other Theft,2003,01,17,15,30,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Break and Enter Residential/Other,2003,02,06,16,00,12XX E 64TH AVE,Sunset,494069.52,5451027.98
Other Theft,2003,01,14,10,30,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,01,09,16,30,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Theft from Vehicle,2003,11,06,18,30,50XX JOYCE ST,Renfrew-Collingwood,497752.2,5454044.87
Theft from Vehicle,2003,10,29,19,00,50XX JOYCE ST,Renfrew-Collingwood,497752.2,5454044.87
Theft from Vehicle,2003,04,19,08,00,50XX JOYCE ST,Renfrew-Collingwood,497752.2,5454044.87
Break and Enter Commercial,2003,09,27,07,00,3XX SW MARINE DR,Marpole,491762.49,5450970.23
Break and Enter Commercial,2003,08,10,11,10,10XX DENMAN ST,West End,489912.97,5459634.17
Theft of Vehicle,2003,07,29,22,30,13XX RICHARDS ST,Central Business District,490844.72,5458006.46
Other Theft,2003,01,08,12,35,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Other Theft,2003,01,06,16,30,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Break and Enter Commercial,2003,12,01,04,45,10XX DENMAN ST,West End,489919.42,5459627.69
Break and Enter Commercial,2003,09,02,17,00,10XX DUNSMUIR ST,Central Business District,491238.73,5459258.69
Other Theft,2003,01,06,15,00,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01
Offence Against a Person,2003,11,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,09,22,21,00,2XX E 10TH AVE,Mount Pleasant,492740.36,5456581.05
Mischief,2003,07,30,18,00,18XX ROBSON ST,West End,490140.05,5459870.09
Theft from Vehicle,2003,10,17,16,40,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Commercial,2003,06,21,10,00,3XX TERMINAL AVE,Strathcona,493000.17,5457727.57
Mischief,2003,09,25,00,00,10XX W 14TH AVE,Fairview,490767.37,5456220.32
Theft from Vehicle,2003,09,03,08,30,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Theft from Vehicle,2003,07,02,16,00,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Residential/Other,2003,12,23,04,00,5X E HASTINGS ST,Central Business District,492488.48,5458741.41
Theft from Vehicle,2003,06,16,07,45,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Theft of Vehicle,2003,11,09,23,00,13XX PENDRELL ST,West End,490254.81,5458984.46
Theft of Vehicle,2003,08,02,18,00,13XX PENDRELL ST,West End,490254.81,5458984.46
Theft from Vehicle,2003,06,10,18,00,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Commercial,2003,01,16,21,00,10XX E 54TH AVE,Sunset,493804.81,5451982.71
Theft from Vehicle,2003,06,06,19,30,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Commercial,2003,08,05,17,00,10XX E 59TH AVE,Sunset,493782.62,5451519.64
Mischief,2003,05,03,02,25,10XX GRANVILLE ST,Central Business District,490954.23,5458401.52
Theft from Vehicle,2003,05,30,19,45,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Theft of Vehicle,2003,05,04,17,56,13XX PENDRELL ST,West End,490227.73,5459011.65
Theft of Vehicle,2003,08,26,20,00,13XX PENDRELL ST,West End,490212.55,5459039.86
Theft from Vehicle,2003,12,22,10,30,8XX BROUGHTON ST,West End,490549.59,5459464.14
Theft of Vehicle,2003,11,27,17,00,13XX PACIFIC BLVD,Central Business District,491002.72,5457849.57
Theft from Vehicle,2003,06,06,15,00,8XX BROUGHTON ST,West End,490549.59,5459464.14
Mischief,2003,11,23,15,30,10XX GRANVILLE ST,Central Business District,490954.23,5458401.52
Theft of Vehicle,2003,02,19,13,15,13XX NICOLA ST,West End,489844.33,5458924.14
Theft of Vehicle,2003,02,18,18,00,13XX NICOLA ST,West End,489844.33,5458924.14
Theft from Vehicle,2003,10,18,17,00,8XX BROUGHTON ST,West End,490543.05,5459470.53
Theft of Vehicle,2003,06,24,22,00,13XX NICOLA ST,West End,489772.62,5458855.8
Theft of Vehicle,2003,06,04,18,00,13XX NELSON ST,West End,490412.09,5459137.02
Mischief,2003,02,25,13,15,5XX BURRARD ST,Central Business District,491424.59,5459309.79
Mischief,2003,09,12,06,00,5XX BURRARD ST,Central Business District,491424.59,5459309.79
Theft from Vehicle,2003,01,31,00,00,8XX BROUGHTON ST,West End,490543.05,5459470.53
Mischief,2003,02,22,22,30,68XX SELKIRK ST,Oakridge,490288.43,5452280.43
Theft from Vehicle,2003,04,04,19,10,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Mischief,2003,12,06,21,00,68XX SHERBROOKE ST,Sunset,494053.41,5452147.28
Theft from Vehicle,2003,03,27,13,00,7XX SEYMOUR ST,Central Business District,491387.01,5458703.99
Break and Enter Residential/Other,2003,04,04,00,51,5X E WATERFRONT RD,Central Business District,492516.66,5459092.17
Theft from Vehicle,2003,08,24,21,00,23XX WALL ST,Grandview-Woodland,495820.19,5459725.24
Theft of Vehicle,2003,02,02,04,00,13XX MCLEAN DR,Grandview-Woodland,494586.92,5457810.14
Theft of Vehicle,2003,03,01,02,00,13XX MAPLE ST,Kitsilano,489083.88,5457970.24
Mischief,2003,08,09,21,45,17XX E BROADWAY AVE,Kensington-Cedar Cottage,494932.58,5456615.68
Theft of Vehicle,2003,10,28,08,00,13XX LILLOOET ST,Hastings-Sunrise,497173.82,5457804.06
Mischief,2003,10,19,05,09,74XX SHERBROOKE ST,Sunset,494059.66,5451565.81
Break and Enter Commercial,2003,04,03,11,04,10XX E CORDOVA ST,Strathcona,494033.14,5458795.62
Theft from Vehicle,2003,10,10,17,00,38XX BOUNDARY RD,Renfrew-Collingwood,498264.23,5455280.98
Offence Against a Person,2003,08,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,04,14,01,04,11XX HARO ST,West End,490786.47,5459074.88
Theft from Vehicle,2003,02,07,14,30,7XX SEYMOUR ST,Central Business District,491382.42,5458686.32
Break and Enter Commercial,2003,05,02,17,00,10XX E CORDOVA ST,Strathcona,494073.88,5458803.74
Break and Enter Commercial,2003,10,17,17,00,10XX E CORDOVA ST,Strathcona,494073.88,5458803.74
Mischief,2003,10,12,19,00,22XX FRASERVIEW DR,Victoria-Fraserview,495573.39,5450954.04
Break and Enter Commercial,2003,01,01,23,19,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1
Break and Enter Commercial,2003,01,18,18,12,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1
Break and Enter Commercial,2003,05,02,18,00,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1
Break and Enter Commercial,2003,10,29,05,18,10XX E GEORGIA ST,Strathcona,494077.84,5458386.1
Break and Enter Residential/Other,2003,12,23,04,40,13XX E 59TH AVE,Sunset,494357.86,5451519.04
Theft from Vehicle,2003,11,09,19,00,38XX BLENHEIM ST,Dunbar-Southlands,487009.67,5455572.97
Theft from Vehicle,2003,06,21,20,30,7XX E 17TH AVE,Kensington-Cedar Cottage,493590.23,5455859.15
Mischief,2003,01,04,00,00,22XX FRASERVIEW DR,Victoria-Fraserview,495650.01,5450969.91
Break and Enter Residential/Other,2003,10,25,11,40,12XX E 64TH AVE,Sunset,494157.82,5451027.38
Mischief,2003,07,18,15,45,17XX E BROADWAY AVE,Kensington-Cedar Cottage,494937.81,5456615.6
Offence Against a Person,2003,07,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,05,31,03,30,13XX LAKEWOOD DR,Grandview-Woodland,495506.7,5457798.56
Mischief,2003,06,12,20,30,11XX HARO ST,West End,490826.26,5459034.05
Break and Enter Residential/Other,2003,10,22,18,00,12XX E 7TH AVE,Mount Pleasant,494234.68,5456839.45
Break and Enter Commercial,2003,10,24,16,00,3XX VERNON DR,Strathcona,494240.5,5458831.67
Break and Enter Residential/Other,2003,11,19,15,30,5X SW MARINE DR,Marpole,492165.32,5451084.54
Offence Against a Person,2003,11,21,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,20,11,00,7XX SE MARINE DR,Sunset,493542.74,5450931.69
Mischief,2003,07,21,21,01,17XX E BROADWAY AVE,Kensington-Cedar Cottage,494937.81,5456615.6
Mischief,2003,09,08,18,00,17XX E BROADWAY AVE,Kensington-Cedar Cottage,494937.81,5456615.6
Mischief,2003,09,13,00,25,17XX E BROADWAY AVE,Kensington-Cedar Cottage,494937.81,5456615.6
Theft from Vehicle,2003,01,19,17,30,15XX COAL HARBOUR QUAY,Central Business District,490719.83,5459828.06
Break and Enter Residential/Other,2003,01,30,15,30,10XX W CORDOVA ST,Central Business District,491419.77,5459498.12
Theft from Vehicle,2003,03,07,12,00,44XX FRASER ST,Kensington-Cedar Cottage,493438.59,5454751.38
Offence Against a Person,2003,07,13,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,06,20,18,00,13XX KAMLOOPS ST,Hastings-Sunrise,496026.7,5457831.19
Theft from Vehicle,2003,04,13,20,00,50XX JOYCE ST,Renfrew-Collingwood,497741.57,5454027.92
Theft of Vehicle,2003,06,01,07,30,13XX KAMLOOPS ST,Hastings-Sunrise,496026.7,5457831.19
Offence Against a Person,2003,07,21,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,08,27,22,00,11XX HARWOOD ST,West End,490220.03,5458566.35
Break and Enter Commercial,2003,03,16,03,15,3XX VICTORIA DR,Grandview-Woodland,495236.17,5458796.07
Mischief,2003,10,01,04,45,14XX CLARK DR,Strathcona,494370.09,5457697.71
Theft from Vehicle,2003,03,12,16,45,8XX BROUGHTON ST,West End,490491.61,5459404.85
Theft of Vehicle,2003,11,27,20,00,13XX JOHNSTON ST,Fairview,490351.42,5457482.71
Break and Enter Residential/Other,2003,01,04,17,40,5X W 16TH AVE,Riley Park,492272.66,5455989.52
Theft of Vehicle,2003,02,05,12,30,13XX JOHNSTON ST,Fairview,490351.42,5457482.71
Theft from Vehicle,2003,03,08,00,40,8XX BROUGHTON ST,West End,490491.61,5459404.85
Theft from Vehicle,2003,02,12,22,00,8XX BROUGHTON ST,West End,490491.61,5459404.85
Mischief,2003,10,13,01,30,68XX QUEBEC ST,Sunset,492438.8,5452193.24
Mischief,2003,03,01,04,21,17XX E BROADWAY AVE,Grandview-Woodland,494964.12,5456624.31
Offence Against a Person,2003,01,06,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,01,03,16,00,44XX FLEMING ST,Kensington-Cedar Cottage,494757.65,5454766.99
Mischief,2003,10,19,04,28,17XX E BROADWAY AVE,Kensington-Cedar Cottage,494997.97,5456614.61
Break and Enter Commercial,2003,04,12,10,30,10XX GILFORD ST,West End,489790.08,5459725.23
Theft from Vehicle,2003,02,01,15,00,44XX DUMFRIES ST,Kensington-Cedar Cottage,494657.27,5454728.09
Break and Enter Commercial,2003,05,03,04,59,10XX GRANVILLE ST,Central Business District,490945.59,5458405.77
Theft from Vehicle,2003,02,09,01,30,15XX COMMERCIAL DR,Grandview-Woodland,494929.86,5457589.14
Other Theft,2003,09,18,16,20,2XX KEEFER ST,Strathcona,492857.39,5458531.36
Theft from Vehicle,2003,08,20,22,30,16XX ARBUTUS ST,Kitsilano,488901.07,5457660.75
Theft from Vehicle,2003,09,24,03,55,8XX BIDWELL ST,West End,490264.24,5459748.04
Theft of Vehicle,2003,02,12,22,45,13XX HOWE ST,Central Business District,490625.66,5458216.69
Break and Enter Residential/Other,2003,05,16,17,00,10XX W HASTINGS ST,Central Business District,491360.49,5459439.56
Theft from Vehicle,2003,04,20,18,00,8XX BIDWELL ST,West End,490264.24,5459748.04
Theft of Vehicle,2003,12,23,00,00,13XX HOWE ST,Central Business District,490550.0,5458154.1
Mischief,2003,07,05,00,06,10XX GRANVILLE ST,Central Business District,490958.17,5458418.63
Mischief,2003,11,07,02,58,10XX GRANVILLE ST,Central Business District,490958.17,5458418.63
Theft from Vehicle,2003,05,06,18,00,7XX E 16TH AVE,Mount Pleasant,493569.46,5455966.77
Break and Enter Commercial,2003,11,23,09,30,10XX GRANVILLE ST,Central Business District,490954.23,5458401.52
Theft from Vehicle,2003,11,26,22,00,15XX COMMERCIAL DR,Grandview-Woodland,494929.86,5457589.14
Theft from Vehicle,2003,09,18,23,45,8XX BIDWELL ST,West End,490243.68,5459740.04
Theft of Vehicle,2003,12,12,00,00,13XX HORNBY ST,Central Business District,490561.76,5458287.73
Theft of Vehicle,2003,12,04,15,25,13XX HORNBY ST,Central Business District,490561.76,5458287.73
Theft from Vehicle,2003,01,18,12,00,15XX W 2ND AVE,Fairview,489883.14,5457448.66
Theft of Vehicle,2003,05,27,21,00,13XX HORNBY ST,Central Business District,490519.87,5458259.21
Theft from Vehicle,2003,05,31,14,00,7XX SE MARINE DR,Sunset,493481.13,5450910.08
Offence Against a Person,2003,11,22,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,05,21,17,40,10XX DAVIE ST,West End,490556.64,5458541.6
Break and Enter Residential/Other,2003,01,10,19,00,10XX W KING EDWARD AVE,Shaughnessy,490696.38,5455186.79
Theft from Vehicle,2003,04,20,21,00,15XX W 2ND AVE,Fairview,489883.14,5457448.66
Theft from Vehicle,2003,10,01,23,00,15XX COMMERCIAL DR,Grandview-Woodland,494930.46,5457621.23
Mischief,2003,06,20,01,30,10XX GRANVILLE ST,Central Business District,490962.61,5458410.09
Theft from Vehicle,2003,04,25,13,00,15XX W 2ND AVE,Fairview,489883.14,5457448.66
Theft from Vehicle,2003,12,11,17,30,8XX BIDWELL ST,West End,490229.22,5459712.09
Theft from Vehicle,2003,04,03,23,30,8XX BIDWELL ST,West End,490229.22,5459712.09
